,time,positive,negative
0,2019-06-08,7.549430417401292e-24,1.0
1,2019-05-15,1.199353082939527e-14,0.999999999999988
2,2019-05-14,0.02339850179851055,0.9766014982014894
3,2019-05-08,0.0,1.0
4,2019-05-07,0.0,1.0
5,2019-05-06,0.0,1.0
6,2019-04-27,2.0147120484463017e-25,1.0
7,2019-04-26,0.0,1.0
8,2019-04-24,0.0,1.0
9,2019-04-23,3.338430064076664e-13,0.9999999999996662
10,2019-04-22,2.8187273077915698e-30,1.0
11,2019-04-13,6.283781567070497e-20,1.0
12,2019-04-09,6.718950317008421e-05,0.9999328104968299
13,2019-04-08,1.748101706681168e-27,1.0
14,2019-04-05,0.9999998807907104,1.1920928955078125e-07
15,2019-04-03,4.8437688578339406e-24,1.0
16,2019-03-20,0.0,1.0
17,2019-03-16,3.240519658165297e-11,0.9999999999675948
18,2019-03-12,7.337261200431509e-30,1.0
19,2019-03-05,6.842540183844295e-18,1.0
20,2019-02-22,0.0,1.0
21,2019-02-21,2.5785222782462364e-29,1.0
22,2019-02-07,1.3544345822822773e-20,1.0
23,2019-02-03,1.1946227340686733e-10,0.9999999998805378
24,2019-02-01,0.0,1.0
25,2019-01-28,7.555551778844205e-13,0.9999999999992445
26,2019-01-25,0.0,1.0
27,2019-01-24,9.932873910170339e-28,1.0
28,2019-01-20,7.941756098037943e-18,1.0
29,2019-01-14,2.0998880701044466e-19,1.0
30,2019-01-07,9.114866770687513e-06,0.9999908851332293
31,2019-01-06,0.0,1.0
32,2019-01-03,4.562929402053772e-27,1.0
33,2018-12-31,4.2163571770774466e-32,1.0
34,2018-12-25,1.640887772880184e-11,0.9999999999835911
35,2018-12-17,0.9985820055007935,0.001417994499206543
36,2018-12-09,0.0,1.0
37,2018-12-04,1.0884300527384295e-14,0.9999999999999891
38,2018-12-03,1.0,0.0
39,2018-11-28,9.196895849050701e-12,0.9999999999908031
40,2018-11-26,0.0,1.0
41,2018-11-19,3.3334559071396264e-12,0.9999999999966666
42,2018-11-16,0.0,1.0
43,2018-11-14,0.0,1.0
44,2018-11-13,5.592696528111674e-09,0.9999999944073035
45,2018-11-12,1.0,0.0
46,2018-11-10,1.0,0.0
47,2018-11-09,0.0,1.0
48,2018-11-01,7.98030231355166e-31,1.0
49,2018-10-26,3.136630937206064e-07,0.9999996863369063
50,2018-10-25,0.0,1.0
51,2018-10-24,0.0,1.0
52,2018-10-23,0.9999998807907104,1.1920928955078125e-07
53,2018-10-19,2.0704048887978065e-24,1.0
54,2018-10-17,0.0,1.0
55,2018-10-16,1.0,0.0
56,2018-10-15,8.850355470713112e-08,0.9999999114964453
57,2018-10-13,6.738833049471203e-22,1.0
58,2018-10-12,1.8853759089425097e-14,0.9999999999999811
59,2018-10-08,1.0,0.0
60,2018-10-05,0.9999996423721313,3.5762786865234375e-07
61,2018-10-01,0.9999998807907104,1.1920928955078125e-07
62,2018-09-22,0.0,1.0
63,2018-09-18,0.0,1.0
64,2018-09-14,0.0,1.0
65,2018-08-23,0.0005843437975272536,0.9994156562024727
66,2018-08-22,2.6146872703713184e-28,1.0
67,2018-08-16,4.2157812247616455e-23,1.0
68,2018-08-09,1.8243569384052894e-21,1.0
69,2018-08-07,3.0482063139521886e-34,1.0
70,2018-07-30,1.0,0.0
71,2018-07-26,4.795751534134472e-29,1.0
72,2018-07-16,0.0,1.0
73,2018-07-23,0.0,1.0
74,2018-07-13,1.980220574618949e-23,1.0
75,2018-07-06,5.601299348087723e-32,1.0
76,2018-07-05,1.0,0.0
77,2018-07-01,0.0,1.0
78,2018-06-29,2.9740843388026406e-07,0.9999997025915661
79,2018-06-28,0.0,1.0
80,2018-06-27,0.0,1.0
81,2018-06-20,1.0353071289159743e-08,0.9999999896469287
82,2018-06-04,1.917870973144886e-09,0.999999998082129
83,2018-06-02,7.015661737468368e-26,1.0
84,2018-05-30,3.5350586346057783e-22,1.0
85,2018-05-29,1.0,0.0
86,2018-05-22,0.9999535083770752,4.649162292480469e-05
87,2018-05-21,1.9854239201915006e-16,0.9999999999999998
88,2018-05-16,9.040757855171002e-17,0.9999999999999999
89,2018-05-15,2.619303971032237e-17,1.0
90,2018-05-14,0.0,1.0
91,2018-05-12,0.0,1.0
92,2018-05-11,1.0548444572112012e-17,1.0
93,2018-05-09,0.0,1.0
94,2018-05-03,0.0,1.0
95,2018-04-21,0.0,1.0
96,2018-04-19,7.01423016891134e-11,0.9999999999298577
97,2018-04-18,0.0,1.0
98,2018-04-16,0.0,1.0
99,2018-04-04,1.0,0.0
100,2018-03-31,9.642212923497503e-24,1.0
101,2018-04-03,7.241234695198884e-11,0.9999999999275877
102,2018-03-26,0.15268298983573914,0.8473170101642609
103,2018-03-21,4.452801110166902e-24,1.0
104,2018-02-27,7.888103413315112e-33,1.0
105,2018-02-14,1.4560815086331197e-20,1.0
106,2018-02-12,1.06633500507991e-16,0.9999999999999999
107,2018-02-09,0.0,1.0
108,2018-02-06,0.0,1.0
109,2018-02-03,0.0,1.0
110,2018-02-02,4.220291521050967e-05,0.9999577970847895
111,2018-01-25,3.7024841526012153e-11,0.9999999999629752
112,2018-01-20,0.0,1.0
113,2018-01-18,3.572343700852798e-07,0.9999996427656299
114,2018-01-13,0.0,1.0
115,2018-01-17,8.72672489826698e-10,0.9999999991273275
116,2018-01-10,0.0,1.0
117,2018-01-08,0.0,1.0
118,2018-01-06,1.1176623727258257e-17,1.0
119,2017-12-30,1.4592606529643773e-37,1.0
120,2017-12-29,1.8761558279178914e-11,0.9999999999812385
121,2017-12-27,0.0,1.0
122,2017-12-21,0.0,1.0
123,2017-12-20,0.0,1.0
124,2018-01-16,0.0,1.0
125,2017-12-15,2.445042543721664e-29,1.0
126,2017-12-13,4.5343507939531033e-20,1.0
127,2017-12-05,0.20646663010120392,0.7935333698987961
128,2017-12-02,0.0,1.0
129,2017-11-27,0.0,1.0
130,2017-11-25,0.0,1.0
131,2017-11-24,0.0,1.0
132,2017-11-20,6.294572809579812e-29,1.0
133,2017-11-14,0.0004131214809603989,0.9995868785190396
134,2017-11-13,1.0,0.0
135,2017-11-08,1.0,0.0
136,2017-11-07,0.9996010661125183,0.00039893388748168945
