er,time
"1,056.82",2018-04-10
"1,055.34",2018-04-09
,2018-04-08
,2018-04-07
"1,048.90",2018-04-06
"1,047.02",2018-04-05
"1,047.22",2018-04-04
"1,047.51",2018-04-03
"1,053.75",2018-04-02
,2018-04-01
,2018-03-31
"1,055.83",2018-03-30
"1,058.70",2018-03-29
"1,061.47",2018-03-28
"1,070.38",2018-03-27
"1,069.99",2018-03-26
,2018-03-25
,2018-03-24
"1,058.50",2018-03-23
"1,060.68",2018-03-22
"1,060.29",2018-03-21
"1,060.48",2018-03-20
"1,058.90",2018-03-19
,2018-03-18
,2018-03-17
"1,055.14",2018-03-16
"1,055.14",2018-03-15
"1,055.14",2018-03-14
"1,053.65",2018-03-13
"1,058.50",2018-03-12
,2018-03-11
,2018-03-10
"1,057.71",2018-03-09
"1,058.01",2018-03-08
"1,064.64",2018-03-07
"1,069.69",2018-03-06
"1,070.48",2018-03-05
,2018-03-04
,2018-03-03
"1,071.08",2018-03-02
,2018-03-01
"1,060.29",2018-02-28
"1,062.96",2018-02-27
"1,067.71",2018-02-26
,2018-02-25
,2018-02-24
"1,072.07",2018-02-23
"1,064.54",2018-02-22
"1,059.59",2018-02-21
"1,057.32",2018-02-20
"1,069.10",2018-02-19
,2018-02-18
,2018-02-17
,2018-02-16
,2018-02-15
"1,071.97",2018-02-14
"1,072.56",2018-02-13
"1,081.77",2018-02-12
,2018-02-11
,2018-02-10
"1,076.92",2018-02-09
"1,072.46",2018-02-08
"1,083.35",2018-02-07
"1,078.90",2018-02-06
"1,065.93",2018-02-05
,2018-02-04
,2018-02-03
"1,061.77",2018-02-02
"1,058.90",2018-02-01
"1,060.68",2018-01-31
"1,059.89",2018-01-30
"1,051.77",2018-01-29
,2018-01-28
,2018-01-27
"1,055.04",2018-01-26
"1,054.64",2018-01-25
"1,060.98",2018-01-24
"1,057.91",2018-01-23
"1,056.92",2018-01-22
,2018-01-21
,2018-01-20
"1,057.81",2018-01-19
"1,057.81",2018-01-18
"1,054.05",2018-01-17
"1,053.65",2018-01-16
"1,049.79",2018-01-15
,2018-01-14
,2018-01-13
"1,055.34",2018-01-12
"1,060.19",2018-01-11
"1,059.89",2018-01-10
"1,057.51",2018-01-09
"1,051.87",2018-01-08
,2018-01-07
,2018-01-06
"1,050.78",2018-01-05
"1,055.14",2018-01-04
"1,054.15",2018-01-03
"1,056.23",2018-01-02
,2018-01-01
,2017-12-31
,2017-12-30
"1,060.68",2017-12-29
"1,061.57",2017-12-28
"1,064.34",2017-12-27
"1,067.41",2017-12-26
,2017-12-25
,2017-12-24
,2017-12-23
"1,069.59",2017-12-22
"1,070.88",2017-12-21
"1,075.04",2017-12-20
"1,076.32",2017-12-19
"1,079.59",2017-12-18
,2017-12-17
,2017-12-16
"1,078.20",2017-12-15
"1,074.94",2017-12-14
"1,082.96",2017-12-13
"1,077.81",2017-12-12
"1,081.77",2017-12-11
,2017-12-10
,2017-12-09
"1,083.85",2017-12-08
"1,082.56",2017-12-07
"1,076.82",2017-12-06
"1,077.12",2017-12-05
"1,075.33",2017-12-04
,2017-12-03
,2017-12-02
"1,077.41",2017-12-01
"1,071.18",2017-11-30
"1,072.76",2017-11-29
"1,078.90",2017-11-28
"1,076.03",2017-11-27
,2017-11-26
,2017-11-25
"1,075.73",2017-11-24
"1,076.22",2017-11-23
"1,080.58",2017-11-22
"1,085.93",2017-11-21
"1,085.53",2017-11-20
,2017-11-19
,2017-11-18
"1,085.43",2017-11-17
"1,094.14",2017-11-16
"1,105.33",2017-11-15
"1,108.89",2017-11-14
"1,109.59",2017-11-13
,2017-11-12
,2017-11-11
"1,106.82",2017-11-10
"1,102.95",2017-11-09
"1,103.45",2017-11-08
"1,099.79",2017-11-07
"1,105.83",2017-11-06
,2017-11-05
,2017-11-04
"1,101.17",2017-11-03
"1,102.16",2017-11-02
"1,107.11",2017-11-01
"1,111.17",2017-10-31
"1,115.03",2017-10-30
,2017-10-29
,2017-10-28
"1,119.69",2017-10-27
"1,113.94",2017-10-26
"1,118.50",2017-10-25
"1,117.51",2017-10-24
"1,123.35",2017-10-23
,2017-10-22
,2017-10-21
"1,117.90",2017-10-20
"1,120.38",2017-10-19
"1,118.30",2017-10-18
"1,118.70",2017-10-17
"1,115.63",2017-10-16
,2017-10-15
,2017-10-14
"1,121.76",2017-10-13
"1,120.97",2017-10-12
"1,120.87",2017-10-11
"1,128.60",2017-10-10
,2017-10-09
,2017-10-08
,2017-10-07
,2017-10-06
,2017-10-05
,2017-10-04
,2017-10-03
,2017-10-02
,2017-10-01
,2017-09-30
"1,134.63",2017-09-29
"1,132.46",2017-09-28
"1,127.70",2017-09-27
"1,124.24",2017-09-26
"1,120.08",2017-09-25
,2017-09-24
,2017-09-23
"1,121.86",2017-09-22
"1,121.96",2017-09-21
"1,119.29",2017-09-20
"1,117.11",2017-09-19
"1,119.69",2017-09-18
,2017-09-17
,2017-09-16
"1,124.24",2017-09-15
"1,121.17",2017-09-14
"1,117.41",2017-09-13
"1,117.80",2017-09-12
"1,116.02",2017-09-11
,2017-09-10
,2017-09-09
"1,116.02",2017-09-08
"1,120.08",2017-09-07
"1,121.17",2017-09-06
"1,118.40",2017-09-05
"1,119.39",2017-09-04
,2017-09-03
,2017-09-02
"1,111.67",2017-09-01
