기간,Dubai,Brent,WTI
09년02월02일,44.80,43.82,40.08
09년02월03일,42.74,44.08,40.78
09년02월04일,42.86,44.15,40.32
09년02월05일,43.42,46.46,41.17
09년02월06일,45.45,46.21,40.17
09년02월09일,45.12,46.02,39.56
09년02월10일,45.56,44.61,37.55
09년02월11일,44.60,44.28,35.94
09년02월12일,44.53,44.65,33.98
09년02월13일,44.36,44.81,37.51
09년02월16일,43.32,43.28,-
09년02월17일,42.75,41.03,34.93
09년02월18일,40.45,39.55,34.62
09년02월19일,40.10,41.99,39.48
09년02월20일,41.38,41.89,38.94
09년02월23일,41.44,40.99,38.44
09년02월24일,40.13,42.50,39.96
09년02월25일,41.39,44.29,42.50
09년02월26일,43.38,46.51,45.22
09년02월27일,44.05,46.35,44.76
09년03월02일,43.66,42.21,40.15
09년03월03일,41.24,43.70,41.65
09년03월04일,41.93,46.12,45.38
09년03월05일,43.98,43.64,43.61
09년03월06일,43.04,44.85,45.52
09년03월09일,43.71,44.13,47.07
09년03월10일,43.12,43.96,45.71
09년03월11일,43.10,41.40,42.33
09년03월12일,41.46,45.09,47.03
09년03월13일,44.03,44.93,46.25
09년03월16일,42.07,43.98,47.35
09년03월17일,43.77,48.24,49.16
09년03월18일,46.04,47.66,48.14
09년03월19일,46.62,50.67,51.61
09년03월20일,48.62,51.22,51.06
09년03월23일,49.61,53.47,53.80
09년03월24일,50.22,53.50,53.98
09년03월25일,50.16,51.75,52.77
09년03월26일,50.42,53.46,54.34
09년03월27일,50.87,51.98,52.38
09년03월30일,48.31,47.99,48.41
09년03월31일,46.80,49.23,49.66
09년04월01일,47.01,48.44,48.39
09년04월02일,48.24,52.75,52.64
09년04월03일,50.75,53.47,52.51
09년04월06일,52.58,52.24,51.05
09년04월07일,51.20,51.22,49.15
09년04월08일,49.17,51.59,49.38
09년04월09일,51.99,54.06,52.24
09년04월13일,52.15,52.14,50.05
09년04월14일,51.02,51.96,49.41
09년04월15일,51.46,51.79,49.25
09년04월16일,51.61,53.06,49.98
09년04월17일,51.16,53.35,50.33
09년04월20일,50.98,49.86,45.88
09년04월21일,48.58,49.82,46.51
09년04월22일,48.61,49.81,48.85
09년04월23일,48.25,50.11,49.62
09년04월24일,48.94,51.67,51.55
09년04월27일,48.72,50.32,50.14
09년04월28일,48.02,49.99,49.92
09년04월29일,49.20,50.78,50.97
09년04월30일,50.06,50.80,51.12
09년05월01일,-,52.85,53.20
09년05월04일,52.62,54.58,54.47
09년05월05일,53.32,54.12,53.84
09년05월06일,53.97,56.15,56.34
09년05월07일,56.86,56.47,56.71
09년05월08일,56.76,58.14,58.63
09년05월11일,56.75,57.48,58.50
09년05월12일,57.37,57.94,58.85
09년05월13일,58.09,57.34,58.02
09년05월14일,56.52,56.69,58.62
09년05월15일,57.87,55.98,56.34
09년05월18일,58.09,58.47,59.03
09년05월19일,58.70,58.92,59.65
09년05월20일,58.59,60.59,62.04
09년05월21일,59.23,59.93,61.05
09년05월22일,59.51,60.78,61.67
09년05월25일,59.15,60.21,-
09년05월26일,58.28,61.24,62.45
09년05월27일,61.05,62.50,63.45
09년05월28일,61.23,64.39,65.08
09년05월29일,63.86,65.52,66.31
09년06월01일,66.28,67.97,68.58
09년06월02일,66.46,68.17,68.55
09년06월03일,67.72,65.88,66.12
09년06월04일,66.83,68.71,68.81
09년06월05일,69.08,68.34,68.44
09년06월08일,67.32,67.88,68.09
09년06월09일,69.24,69.62,70.01
09년06월10일,70.95,70.80,71.33
09년06월11일,71.19,71.79,72.68
09년06월12일,71.48,70.92,72.04
09년06월15일,70.73,69.44,70.62
09년06월16일,70.10,70.24,70.47
09년06월17일,70.18,70.85,71.03
09년06월18일,71.01,71.06,71.37
09년06월19일,71.36,69.19,69.55
09년06월22일,69.33,66.98,66.93
09년06월23일,66.58,68.80,69.24
09년06월24일,68.86,68.33,68.67
09년06월25일,69.07,69.78,70.23
09년06월26일,70.80,68.92,69.16
09년06월29일,69.39,70.99,71.49
09년06월30일,71.85,69.30,69.89
09년07월01일,69.91,68.79,69.31
09년07월02일,67.98,66.65,66.73
09년07월03일,66.72,65.61,-
09년07월06일,64.26,64.05,64.05
09년07월07일,64.00,63.23,62.93
09년07월08일,62.48,60.43,60.14
09년07월09일,61.74,61.10,60.41
09년07월10일,60.78,60.52,59.89
09년07월13일,60.50,60.69,59.69
09년07월14일,62.08,60.86,59.52
09년07월15일,62.03,63.09,61.54
09년07월16일,63.16,62.75,62.02
09년07월17일,63.19,65.38,63.56
09년07월20일,65.31,66.44,63.98
09년07월21일,64.90,66.87,64.72
09년07월22일,64.65,67.21,65.40
09년07월23일,65.75,69.25,67.16
09년07월24일,67.89,70.32,68.05
09년07월27일,68.98,70.81,68.38
09년07월28일,68.79,69.88,67.23
09년07월29일,66.63,66.53,63.35
09년07월30일,64.71,70.11,66.94
09년07월31일,67.78,71.70,69.45
09년08월03일,71.36,73.55,71.58
09년08월04일,71.21,74.28,71.42
09년08월05일,72.38,75.51,71.97
09년08월06일,73.17,74.83,71.94
09년08월07일,71.72,73.59,70.93
09년08월10일,-,73.50,70.60
09년08월11일,71.82,72.46,69.45
09년08월12일,70.82,72.89,70.16
09년08월13일,72.24,73.48,70.52
09년08월14일,72.60,72.41,67.51
09년08월17일,68.49,70.54,66.75
09년08월18일,69.30,72.37,69.19
09년08월19일,70.08,74.59,72.42
09년08월20일,72.73,73.33,72.54
09년08월21일,71.77,74.19,73.89
09년08월24일,72.67,74.26,74.37
09년08월25일,72.09,71.82,72.05
09년08월26일,70.88,71.65,71.43
09년08월27일,70.11,72.51,72.49
09년08월28일,71.50,72.79,72.74
09년08월31일,70.36,69.65,69.96
09년09월01일,69.19,67.73,68.05
09년09월02일,67.09,67.66,68.05
09년09월03일,67.76,67.12,67.96
09년09월04일,66.98,66.82,68.02
09년09월07일,66.92,66.53,-
09년09월08일,67.30,69.42,71.10
09년09월09일,69.13,69.83,71.31
09년09월10일,69.96,69.86,71.94
09년09월11일,69.21,67.69,69.29
09년09월14일,67.05,67.44,68.86
09년09월15일,67.20,67.35,70.93
09년09월16일,68.77,71.67,72.51
09년09월17일,70.62,71.55,72.47
09년09월18일,69.93,71.32,72.04
09년09월21일,-,68.69,69.71
09년09월22일,68.66,70.53,71.55
09년09월23일,69.61,67.99,68.97
09년09월24일,66.58,64.82,65.89
09년09월25일,64.74,65.11,66.02
09년09월28일,64.02,65.54,66.84
09년09월29일,64.98,65.49,66.71
09년09월30일,65.33,69.07,70.61
09년10월01일,68.27,69.19,70.82
09년10월02일,68.08,68.07,69.95
09년10월05일,67.68,68.04,70.41
09년10월06일,68.48,68.56,70.88
09년10월07일,68.72,67.20,69.57
09년10월08일,67.67,69.77,71.69
09년10월09일,69.07,70.00,71.77
09년10월12일,70.30,71.36,73.27
09년10월13일,71.58,72.40,74.15
09년10월14일,72.56,73.10,75.18
09년10월15일,73.40,74.45,77.58
09년10월16일,75.30,76.99,78.53
09년10월19일,76.03,77.77,79.61
09년10월20일,76.38,77.24,79.09
09년10월21일,75.80,79.69,81.37
09년10월22일,77.80,79.51,81.19
09년10월23일,78.52,78.92,80.50
09년10월26일,77.85,77.26,78.68
09년10월27일,76.76,77.92,79.55
09년10월28일,76.88,75.86,77.46
09년10월29일,75.52,78.04,79.87
09년10월30일,77.09,75.20,77.00
09년11월02일,75.51,76.55,78.13
09년11월03일,76.17,78.11,79.60
09년11월04일,78.21,78.89,80.40
09년11월05일,78.45,77.99,79.62
09년11월06일,78.74,75.87,77.43
09년11월09일,77.27,77.77,79.43
09년11월10일,77.37,77.50,79.05
09년11월11일,78.10,77.95,79.28
09년11월12일,78.40,76.02,76.94
09년11월13일,77.19,75.55,76.35
09년11월16일,77.34,78.76,78.90
09년11월17일,78.29,78.97,79.14
09년11월18일,79.02,79.47,79.58
09년11월19일,78.70,77.64,77.46
09년11월20일,77.59,77.20,76.72
09년11월23일,78.02,77.46,77.56
09년11월24일,77.16,76.46,76.02
09년11월25일,76.96,78.44,77.96
09년11월26일,77.59,76.99,-
09년11월27일,-,77.18,76.05
09년11월30일,77.71,78.47,77.28
09년12월01일,79.34,79.35,78.37
09년12월02일,79.70,77.88,76.60
09년12월03일,79.39,78.36,76.46
09년12월04일,78.38,77.52,75.47
09년12월07일,78.18,76.43,73.93
09년12월08일,77.40,75.19,72.62
09년12월09일,76.58,72.39,70.67
09년12월10일,73.74,71.86,70.54
09년12월11일,73.15,71.88,69.87
09년12월14일,72.31,71.89,69.51
09년12월15일,72.17,72.05,70.69
09년12월16일,73.19,73.55,72.66
09년12월17일,73.26,73.37,72.65
09년12월18일,72.98,73.75,73.36
09년12월21일,73.06,72.99,72.47
09년12월22일,72.33,73.46,74.40
09년12월23일,72.91,75.45,76.67
09년12월24일,75.26,76.31,78.05
09년12월28일,75.53,77.32,78.77
09년12월29일,76.95,77.64,78.87
09년12월30일,77.44,78.03,79.28
09년12월31일,78.04,77.93,79.36
10년01월04일,78.27,80.12,81.51
10년01월05일,79.83,80.59,81.77
10년01월06일,79.92,81.89,83.18
10년01월07일,80.76,81.51,82.66
10년01월08일,80.34,81.37,82.75
10년01월11일,81.35,80.97,82.52
10년01월12일,80.04,79.30,80.79
10년01월13일,77.94,78.31,79.65
10년01월14일,78.45,77.82,79.39
10년01월15일,77.55,77.11,78.00
10년01월18일,76.45,77.10,-
10년01월19일,76.17,77.63,79.02
10년01월20일,76.50,76.32,77.62
10년01월21일,75.96,74.58,76.08
10년01월22일,74.45,72.83,74.54
10년01월25일,72.32,73.69,75.26
10년01월26일,72.34,73.29,74.71
10년01월27일,72.38,72.24,73.67
10년01월28일,72.30,72.13,73.64
10년01월29일,71.59,71.46,72.89
10년02월01일,71.28,73.11,74.43
10년02월02일,72.91,76.06,77.23
10년02월03일,76.00,75.92,76.98
10년02월04일,74.78,72.13,73.14
10년02월05일,70.62,69.59,71.19
10년02월08일,69.46,70.11,71.89
10년02월09일,70.06,72.13,73.75
10년02월10일,71.39,72.54,74.52
10년02월11일,72.31,73.05,75.28
10년02월12일,72.81,72.90,74.13
10년02월15일,-,72.51,-
10년02월16일,-,75.68,77.01
10년02월17일,75.07,76.27,77.33
10년02월18일,74.03,77.78,79.06
10년02월19일,74.99,78.19,79.81
10년02월22일,76.65,78.61,80.16
10년02월23일,76.66,77.25,78.86
10년02월24일,75.41,78.09,80.00
10년02월25일,76.00,76.29,78.17
10년02월26일,74.29,77.59,79.66
10년03월01일,76.50,76.89,78.70
10년03월02일,75.16,78.18,79.68
10년03월03일,76.09,79.25,80.87
10년03월04일,76.60,78.54,80.21
10년03월05일,77.05,79.89,81.50
10년03월08일,78.18,80.47,81.87
10년03월09일,77.65,79.91,81.49
10년03월10일,77.52,80.48,82.09
10년03월11일,77.87,80.28,82.11
10년03월12일,78.31,79.39,81.24
10년03월15일,77.35,77.89,79.80
10년03월16일,75.81,79.02,81.70
10년03월17일,77.95,81.96,82.93
10년03월18일,77.67,81.48,82.20
10년03월19일,78.09,79.88,80.68
